cell,document,family,support,best_fusion,best_policy,mean_policy,best_action,rows,canonical_rows,generic_rows,truncated_rows,canonical_observed
DFP_AUTHORITY,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,AUTHORITY,SUPPORTED,0.8310940775771452,1.0,0.9166666666666669,0.75,3,0,1,2,False
DFP_COMPLIANCE,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,COMPLIANCE,PARTIAL,0.5410634417290194,0.5,0.4,1.0,4,4,0,0,True
DFP_ESCALATION,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,ESCALATION,PARTIAL,0.484532117614523,0.6666666666666666,0.5499999999999999,1.0,3,1,2,0,True
DFP_EXCEEDS,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,EXCEEDS,SUPPORTED,0.652997723508793,0.9166666666666666,0.6500000000000001,1.0,3,1,2,0,True
DFP_EXPLAINABLE,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,EXPLAINABLE,PARTIAL,0.5226645462617149,0.6666666666666666,0.5,0.75,3,3,0,0,True
DFP_GOVERNANCE,Delegation_of_Financial_Powers_Rules_2024_Booklet.pdf,GOVERNANCE,SUPPORTED,0.5668714162987554,0.5833333333333334,0.5166666666666667,0.75,4,0,1,3,False
DPM1_AUTHORITY,DPM-2025-VOLUME-I.pdf,AUTHORITY,SUPPORTED,0.6989466965861211,0.6666666666666666,0.4666666666666666,1.0,4,4,0,0,True
DPM1_COMPLIANCE,DPM-2025-VOLUME-I.pdf,COMPLIANCE,SUPPORTED,0.5539190396734064,0.6666666666666666,0.3833333333333333,1.0,3,0,3,0,False
DPM1_ESCALATION,DPM-2025-VOLUME-I.pdf,ESCALATION,SUPPORTED,0.8417057644747287,1.0,0.75,1.0,3,1,0,2,True
DPM1_EXCEEDS,DPM-2025-VOLUME-I.pdf,EXCEEDS,SUPPORTED,0.8247346008247984,1.0,0.8666666666666668,1.0,4,1,0,3,True
DPM1_EXPLAINABLE,DPM-2025-VOLUME-I.pdf,EXPLAINABLE,SUPPORTED,0.7459830480698965,1.0,0.95,0.5,3,0,3,0,False
DPM1_GOVERNANCE,DPM-2025-VOLUME-I.pdf,GOVERNANCE,PARTIAL,0.5,0.8333333333333334,0.5,1.0,3,3,0,0,True
DPM2_AUTHORITY,DPM-2025-VOLUME-II.pdf,AUTHORITY,SUPPORTED,0.7064553649455629,0.5833333333333334,0.4333333333333334,0.8,3,1,2,0,True
DPM2_COMPLIANCE,DPM-2025-VOLUME-II.pdf,COMPLIANCE,SUPPORTED,0.641222510038006,0.5833333333333334,0.3166666666666666,0.8,4,1,1,2,True
DPM2_ESCALATION,DPM-2025-VOLUME-II.pdf,ESCALATION,SUPPORTED,0.6051022608847343,0.9166666666666666,0.75,1.0,3,3,0,0,True
DPM2_EXCEEDS,DPM-2025-VOLUME-II.pdf,EXCEEDS,PARTIAL,0.657678096317218,0.5,0.35,1.0,4,4,0,0,True
DPM2_EXPLAINABLE,DPM-2025-VOLUME-II.pdf,EXPLAINABLE,PARTIAL,0.4471074790810286,0.8333333333333334,0.5166666666666667,0.3,3,0,0,3,False
DPM2_GOVERNANCE,DPM-2025-VOLUME-II.pdf,GOVERNANCE,PARTIAL,0.4492880181189932,0.5,0.2833333333333333,0.75,3,0,3,0,False
NAVY1_AUTHORITY,RegsNavyI.pdf,AUTHORITY,PARTIAL,0.5156860717609347,0.1666666666666666,0.0666666666666666,0.925,3,3,0,0,True
NAVY1_COMPLIANCE,RegsNavyI.pdf,COMPLIANCE,PARTIAL,0.5391404142405618,0.9166666666666666,0.5666666666666667,1.0,3,2,1,0,True
NAVY1_ESCALATION,RegsNavyI.pdf,ESCALATION,SUPPORTED,0.6687435882836748,1.0,0.8333333333333334,1.0,4,0,2,2,False
NAVY1_EXCEEDS,RegsNavyI.pdf,EXCEEDS,SUPPORTED,0.6548488493539478,0.75,0.5333333333333334,1.0,3,0,1,2,False
NAVY1_EXPLAINABLE,RegsNavyI.pdf,EXPLAINABLE,SUPPORTED,0.6748290713733262,1.0,0.9666666666666666,1.0,3,1,2,0,True
NAVY1_GOVERNANCE,RegsNavyI.pdf,GOVERNANCE,SUPPORTED,0.6676468990742076,1.0,0.8,0.675,4,3,0,1,True
NAVY2_AUTHORITY,RegsNavyII.pdf,AUTHORITY,SUPPORTED,0.6746407095925724,0.5833333333333334,0.2333333333333333,0.5,3,2,1,0,True
NAVY2_COMPLIANCE,RegsNavyII.pdf,COMPLIANCE,SUPPORTED,0.6214146854240374,0.6666666666666666,0.4,0.5,3,0,2,1,False
NAVY2_ESCALATION,RegsNavyII.pdf,ESCALATION,SUPPORTED,1.0,1.0,0.8833333333333334,1.0,4,3,0,1,True
NAVY2_EXCEEDS,RegsNavyII.pdf,EXCEEDS,SUPPORTED,0.9634595432986974,1.0,0.7000000000000001,1.0,3,2,0,1,True
NAVY2_EXPLAINABLE,RegsNavyII.pdf,EXPLAINABLE,SUPPORTED,0.6610128694961874,1.0,0.975,0.975,4,0,2,2,False
NAVY2_GOVERNANCE,RegsNavyII.pdf,GOVERNANCE,SUPPORTED,0.6921035046807549,1.0,0.8333333333333333,1.0,3,2,1,0,True
NAVY3_AUTHORITY,RegsNavyIII.pdf,AUTHORITY,PARTIAL,0.589861988441298,0.5,0.2,0.675,4,0,3,1,False
NAVY3_COMPLIANCE,RegsNavyIII.pdf,COMPLIANCE,SUPPORTED,0.585,0.8333333333333334,0.3999999999999999,1.0,3,2,0,1,True
NAVY3_ESCALATION,RegsNavyIII.pdf,ESCALATION,SUPPORTED,0.6097483530967396,0.6666666666666666,0.5999999999999999,0.8999999999999999,3,3,0,0,True
NAVY3_EXCEEDS,RegsNavyIII.pdf,EXCEEDS,SUPPORTED,0.6456929404943217,0.5833333333333334,0.4333333333333333,0.25,3,2,1,0,True
NAVY3_EXPLAINABLE,RegsNavyIII.pdf,EXPLAINABLE,SUPPORTED,0.6895508217459543,0.5833333333333334,0.45,0.75,4,2,0,2,True
NAVY3_GOVERNANCE,RegsNavyIII.pdf,GOVERNANCE,SUPPORTED,0.5524052864245869,0.75,0.5833333333333333,0.675,3,0,2,1,False
NAVY4_AUTHORITY,RegsNavyIV.pdf,AUTHORITY,PARTIAL,0.5945030386776577,0.5,0.3,1.0,4,2,0,2,True
NAVY4_COMPLIANCE,RegsNavyIV.pdf,COMPLIANCE,PARTIAL,0.5203494304344561,0.5833333333333334,0.4833333333333334,1.0,3,3,0,0,True
NAVY4_ESCALATION,RegsNavyIV.pdf,ESCALATION,SUPPORTED,0.6705308603277897,0.9166666666666666,0.7,1.0,3,0,3,0,False
NAVY4_EXCEEDS,RegsNavyIV.pdf,EXCEEDS,PARTIAL,0.5237778262726345,0.6666666666666666,0.3833333333333333,0.8500000000000001,4,0,3,1,False
